School_Characteristic,Num_FullTime_Teachers,Percent_FullTime_Teachers,Required_Contract_Hours,Instruction_Delivery_Hours,Total_Hours
Less than 100,"51,400",86.2,38.2,27.9,50.4
100-199,"101,900",87.1,38.5,28.3,52.9
200-499,"975,100",90.7,38,27.8,52.8
500-749,"989,900",92.9,38.3,27.6,53.4
750-999,"519,600",94,38.2,27.2,53.2
"1,000 or more","917,700",95.9,38.2,26.8,53.9
