School_Characteristic,Num_FullTime_Teachers,Percent_FullTime_Teachers,Required_Contract_Hours,Instruction_Delivery_Hours,Total_Hours
Traditional Public,"3,356,400",93,38.1,27.4,53.2
Charter School,"199,200",91.2,39.8,27.6,54.4
