School_Characteristic,Num_FullTime_Teachers,Percent_FullTime_Teachers,Required_Contract_Hours,Instruction_Delivery_Hours,Total_Hours
Primary,"1,652,100",90.8,38.1,28,52.9
Middle,"648,400",95.2,38.2,26.7,52.9
High,"1,045,700",95.3,38.2,26.8,54
Combined,"209,400",91.8,38.8,27.8,53.4
